Customer_Firstname,Customer_Lastname,Cust_Name,Gender_Code,Customer _Name,Address1,City,State,Country_Code,Postal_Code,Postal_Code_Plus4,Address2,Email_Address,Phone_Number,Creditcard_Type,Locality,Salesman_Id,Nationality,National_Id,Creditcard_Number,Driver_License,Cust_Id,Order_Id,Order_Date,Order_Time,Freight_Charges,Order_Salesman,Order_Posted_Date,Order_Ship_Date,Age,Order_Value,T_Type,Purchase_Touchpoint,Purchase_Status,Order_Type,Generation,Baby Food,Diapers,Formula,Lotion,Baby Wash,Wipes,Fresh Fruits,Fresh Vegetables,Beer,Wine,Club Soda,Sports Drink,Chips,Popcorn,Oatmeal,Medicines,Canned Foods,Cigarettes,Cheese,Cleaning Products,Condiments,Frozen Foods,Kitchen Items,Meat,Office Supplies,Personal Care,Pet Supplies,Sea Food,Spices,,,,,,,,,,
Thomas ,Owens        ,Thomas Owens        ,Mr.,Mr. Thomas Owens,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.62E+15,,10015,8633,00:00.0,17:24.6,11.15,NC100 ,00:00.0,"Saturday, August 20, 2016",60,49.94,cancelled,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony ,Carr        ,Anthony Carr        ,Mr.,Mr. Anthony Carr,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01E+15,,10019,792,00:00.0,47:56.4,9.22,SC259 ,00:00.0,"Saturday, February 20, 2016",53,28.35,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony ,Carr        ,Anthony Carr        ,Mr.,Mr. Anthony Carr,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01E+15,,10019,1257,00:00.0,47:24.6,13.33,SC193 ,00:00.0,"Saturday, August 20, 2016",53,29.82,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
Anthony ,Carr        ,Anthony Carr        ,Mr.,Mr. Anthony Carr,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01E+15,,10019,2488,00:00.0,13:54.6,2.87,SW277 ,00:00.0,"Sunday, March 27, 2016",53,14.36,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony ,Carr        ,Anthony Carr        ,Mr.,Mr. Anthony Carr,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01E+15,,10019,2836,00:00.0,29:06.2,6.05,NC298 ,00:00.0,"Wednesday, July 27, 2016",53,9.06,in-progress,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony ,Carr        ,Anthony Carr        ,Mr.,Mr. Anthony Carr,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01E+15,,10019,5456,00:00.0,50:44.9,23.37,RP253 ,00:00.0,"Monday, October 3, 2016",53,36.5,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Melvin ,Schmitz      ,Melvin Schmitz      ,Mr.,Mr. Melvin Schmitz,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.17E+15,,10027,139,00:00.0,33:44.8,24.08,NW184 ,00:00.0,"Tuesday, December 20, 2016",32,10.11,complete,Phone,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Melvin ,Schmitz      ,Melvin Schmitz      ,Mr.,Mr. Melvin Schmitz,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.24E+15,,10027,831,00:00.0,33:59.5,7.02,SE265 ,00:00.0,"Friday, November 25, 2016",32,42.16,cancelled,Phone,Occasional,LowValue,GEN_Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Melvin ,Schmitz      ,Melvin Schmitz      ,Mr.,Mr. Melvin Schmitz,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.99E+15,,10027,6961,00:00.0,29:06.2,11.45,NC358 ,00:00.0,"Saturday, July 23, 2016",32,48.35,abandoned,Phone,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Melvin ,Schmitz      ,Melvin Schmitz      ,Mr.,Mr. Melvin Schmitz,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.64E+15,,10027,8622,00:00.0,07:39.4,9.51,SC256 ,00:00.0,"Monday, November 14, 2016",32,5.1,in-progress,Phone,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
John ,Hoffman        ,John Hoffman        ,Mr.,Mr. John Hoffman,1660 Lighthouse Drive,Akron,OH,US,44311,0,,John.D.Hoffman@trashymail.com,608-822-4333,American Express,,SW274 ,IT,RGQKFP86T41C178Z,3.77E+14,,10031,1369,00:00.0,32:50.8,21.97,NW247 ,00:00.0,"Friday, January 15, 2016",46,24.66,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Muriel ,Exley        ,Muriel Exley        ,Mrs.,Mrs. Muriel Exley,2645 Kooter Lane,Alba Di Canazei,TN,IT,38030,0,,Muriel.J.Exley@trashymail.com,0326 8920950,Discover,,SW412 ,FR,2.67E+14,6.01E+15,,10035,5328,00:00.0,32:45.2,33.85,NE304 ,00:00.0,"Friday, July 15, 2016",46,49.16,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
James ,Moyle         ,James Moyle         ,Mr.,Mr. James Moyle,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.16E+15,,10039,421,00:00.0,33:44.8,22.77,NE367 ,00:00.0,"Tuesday, December 20, 2016",72,224.71,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,
James ,Moyle         ,James Moyle         ,Mr.,Mr. James Moyle,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.18E+15,,10039,5317,00:00.0,34:16.6,5.85,NW115 ,00:00.0,"Monday, December 19, 2016",72,235.6,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
James ,Moyle         ,James Moyle         ,Mr.,Mr. James Moyle,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.13E+15,,10039,5855,00:00.0,33:44.9,17.2,NW112 ,00:00.0,"Monday, May 30, 2016",72,164.54,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,
Calvin ,Shupe        ,Calvin Shupe        ,Mr.,Mr. Calvin Shupe,3335 Willow Oaks Lane,Albosaggia,SO,IT,23100,0,,Calvin.M.Shupe@spambob.com,0331 4473271,VISA,,NE373 ,IT,RHFGBS20R46E848A,4.31E+15,,10047,529,00:00.0,47:39.4,9,SC388 ,00:00.0,"Wednesday, June 15, 2016",49,45.66,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.41E+14,,10051,1352,00:00.0,27:55.6,13.33,SE271 ,00:00.0,"Sunday, October 9, 2016",47,18.99,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.78E+14,,10051,3079,00:00.0,19:46.2,7.85,NW250 ,00:00.0,"Saturday, March 12, 2016",47,43.14,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.40E+14,,10051,5296,00:00.0,44:16.6,48.52,NE178 ,00:00.0,"Tuesday, December 20, 2016",47,27.45,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.45E+14,,10051,5312,00:00.0,07:36.4,17.6,NC424 ,00:00.0,"Thursday, January 7, 2016",47,27.45,complete,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.77E+14,,10051,6481,00:00.0,32:45.1,17.87,RP190 ,00:00.0,"Wednesday, June 15, 2016",47,28.6,cancelled,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.75E+14,,10051,6487,00:00.0,43:54.6,17.87,NW181 ,00:00.0,"Monday, December 12, 2016",47,42.24,complete,Phone,Occasional,LowValue,GEN_X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Alfonso ,Frazier     ,Alfonso Frazier     ,Mr.,Mr. Alfonso Frazier,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.43E+14,,10051,7945,00:00.0,47:52.6,21.97,NE241 ,00:00.0,"Monday, April 25, 2016",47,8.04,in-progress,Phone,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Reda ,Fullilove      ,Reda Fullilove      ,Mrs.,Mrs. Reda Fullilove,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.61E+13,,10055,925,00:00.0,47:52.6,19.25,WE157 ,00:00.0,"Monday, April 25, 2016",24,32.11,in-progress,Phone,FirstTime,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Reda ,Fullilove      ,Reda Fullilove      ,Mrs.,Mrs. Reda Fullilove,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.64E+13,,10055,1282,00:00.0,47:52.6,23.37,WE157 ,00:00.0,"Monday, April 25, 2016",24,223.31,complete,Phone,FirstTime,HighValue,GEN_Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,
Reda ,Fullilove      ,Reda Fullilove      ,Mrs.,Mrs. Reda Fullilove,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.63E+13,,10055,4950,00:00.0,43:54.6,18.45,NE103 ,00:00.0,"Thursday, October 27, 2016",24,129.77,complete,Phone,FirstTime,MediumValue,GEN_Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,
Cecil ,Games         ,Cecil Games         ,Mr.,Mr. Cecil Games,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4.62E+15,,10059,1985,00:00.0,25:36.6,21.97,WE415 ,00:00.0,"Wednesday, March 30, 2016",age-32,5.91,in-progress,Phone,FirstTime,LowValue,GEN_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cecil ,Games         ,Cecil Games         ,Mr.,Mr. Cecil Games,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4.70E+15,,10059,3363,00:00.0,23:44.8,68.57,NW244 ,00:00.0,"Thursday, December 15, 2016",age-32,173.62,complete,Phone,FirstTime,HighValue,GEN_Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
Edward ,Turner       ,Edward Turner       ,Mr.,Mr. Edward Turner,3179 Stratford Drive,Alexandrian,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.61E+13,,10063,564,00:00.0,58:44.9,7.12,SW343 ,00:00.0,"Monday, May 30, 2016",65,198.38,cancelled,Desktop,Frequent,HighValue,BABY_BOOMERS,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,
Edward ,Turner       ,Edward Turner       ,Mr.,Mr. Edward Turner,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.63E+13,,10063,1506,00:00.0,34:16.6,22.77,SE403 ,00:00.0,"Friday, September 9, 2016",65,242.23,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,,,,,,,,,,
Edward ,Turner       ,Edward Turner       ,Mr.,Mr. Edward Turner,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.62E+13,,10063,3586,00:00.0,34:16.6,11.45,NW115 ,00:00.0,"Monday, December 19, 2016",65,270.16,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,
Amy ,Randle          ,Amy Randle          ,Mrs.,Mrs. Amy Randle,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.59E+15,,10067,1042,00:00.0,57:35.6,27.99,SE334 ,00:00.0,"Sunday, October 9, 2016",28,57.87,cancelled,Phone,Frequent,MediumValue,GEN_Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,
Amy ,Randle          ,Amy Randle          ,Mrs.,Mrs. Amy Randle,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.63E+15,,10067,1239,00:00.0,29:06.2,7.85,SE208 ,00:00.0,"Tuesday, March 1, 2016",28,378,complete,Phone,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rafael ,Middleton    ,Rafael Middleton    ,Mr.,Mr. Rafael Middleton,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.53E+15,,10075,670,00:00.0,39:06.2,11.85,SC130 ,00:00.0,"Saturday, February 27, 2016",73,142.54,complete,Desktop,Frequent,MediumValue,BABY_BOOMERS,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,
Rafael ,Middleton    ,Rafael Middleton    ,Mr.,Mr. Rafael Middleton,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.53E+15,,10075,2231,00:00.0,47:56.4,9,WE220 ,00:00.0,"Sunday, December 25, 2016",73,197.81,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,
Rafael ,Middleton    ,Rafael Middleton    ,Mr.,Mr. Rafael Middleton,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.53E+15,,10075,9068,00:00.0,07:36.4,16.27,NW379 ,00:00.0,"Sunday, January 3, 2016",73,179.38,complete,Desktop,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
Earl ,Bruner         ,Earl Bruner         ,Mr.,Mr. Earl Bruner,3155 Single Street,Alma,QC,CA,G8B 2W5,0,,Earl.M.Bruner@pookmail.com,613-353-4540,American Express,,NE172 ,ES,5873675G,3.77E+14,,10079,3545,00:00.0,57:39.4,6.37,SW142 ,00:00.0,"Saturday, April 30, 2016",19,20.37,complete,Phone,Frequent,LowValue,GEN_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Linda ,Garcia        ,Linda Garcia        ,Mrs.,Mrs. Linda Garcia,2306 Thrash Trail,Alpo,VR,IT,37060,0,,Linda.J.Garcia@mailinator.com,0317 2702530,JCB,,SE268 ,U.S.,22868164,3.53E+15,,10083,1728,00:00.0,59:36.2,17.87,SC199 ,00:00.0,"Tuesday, December 27, 2016",40,560,complete,Phone,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
